"SampleID","ProjectID","PlatformName","Description","Tissue","DiseaseState","SampleSource","Gender"
"D14_CHD8_1","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D14_CHD8_3","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D14_CHD8_4","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D14_H9_1","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D14_H9_2","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D14_H9_5","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D21_CHD8_4","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D21_CHD8_5","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D21_CHD8_6","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D21_H9_4","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D21_H9_5","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D21_H9_6","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D7_CHD8_2","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D7_CHD8_3","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D7_CHD8_5","Neuron Time Series","NGS","NA","CHD8","normal control","NA","NA"
"D7_H9_3","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D7_H9_4","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
"D7_H9_5","Neuron Time Series","NGS","NA","H9","normal control","NA","NA"
