"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",3.27190553796569,32.7190553796569,32.7190553796569
"comp 2",1.73713102312438,17.3713102312438,50.0903656109007
"comp 3",1.40491668214964,14.0491668214964,64.1395324323971
"comp 4",1.05685035325947,10.5685035325947,74.7080359649918
"comp 5",0.68477353485989,6.8477353485989,81.5557713135907
"comp 6",0.599268680805834,5.99268680805834,87.548458121649
"comp 7",0.451235263803241,4.51235263803241,92.0608107596814
"comp 8",0.396876585740907,3.96876585740906,96.0295766170905
"comp 9",0.214814853172235,2.14814853172235,98.1777251488128
"comp 10",0.182227485118716,1.82227485118716,100
